Class,Precision,Recall,F1,Support
AnnualCrop,0.9844,0.9822,0.9833,450
Forest,1.0000,0.9956,0.9978,450
HerbaceousVegetation,0.9696,0.9889,0.9791,451
Highway,0.9894,0.9947,0.9920,375
Industrial,0.9791,0.9973,0.9881,375
Pasture,0.9931,0.9633,0.9780,300
PermanentCrop,0.9704,0.9627,0.9665,375
Residential,0.9978,0.9933,0.9955,450
River,0.9973,0.9920,0.9947,375
SeaLake,0.9956,0.9978,0.9967,450
